"Name","Vladmir the Great"
"Origin 1","49"
"Origin 2","7"
"Level","1"
"Crit2","-1"
"Utility3","-1"
"Expert5","-1"
"Uber",""
"Str","16"
"Con","16"
"Dex","14"
"Int","11"
"Wis","16"
"Cha","18"
"Skill","4"
"Feat",""
"Feat",""
"Feat",""
"Armor Choice","2"
"Shield?","True"
"HP","33"
"AC","19"
"FORT","17"
"REF","14"
"WILL","16"
"INIT","3"
"LMOH?","0"
"LMOH Description",""
"LMTH?","0"
"LMTH Description",""
"HMOH?","True"
"HMOH Description","warhammer"
"HMTH?","0"
"HMTH Description",""
"LROH?","0"
"LROH Description",""
"LRTH?","0"
"LRTH Description",""
"HROH?","True"
"HROH Description","throwing hammer"
"HRTH?","0"
"HRTH Description",""
"LGOH?","0"
"LGOH Description",""
"LGTH?","0"
"LGTH Description",""
"HGOH?","0"
"HGOH Description",""
"HGTH?","0"
"HGTH Description",""
"Trusting","Skeptical"
"Outlook","Self-assured"
"Decide","Forceful"
"Conscientious","Pragmatic"
"Empathy","Hard-hearted"
"Courage","Fierce"
"Image","C:\Users\rob\Dropbox\Personal\Gaming\Gamma World\7e\GWCB 2025\Images\Vampiric Giant.png"
"Notes1"," "
"Gear","binoculars (+5 to Perception checks to observe distant details.)"
"Gear","draft horse (Can pull a wagon at 3 mph.)"
"Gear","tent (Big enough for two - three if you are friendly.)"
"Gear","winter outfit (+1 to checks against cold.)"
